Feature,Importance
number_inpatient,0.2408837
discharge_disposition_id,0.06419268
number_emergency,0.062992364
number_diagnoses,0.040806122
diabetesMed,0.040014867
admission_source_id,0.03848843
number_outpatient,0.03534868
age,0.02488327
admission_type_id,0.022510117
payer_code,0.022310723
medical_specialty,0.020949427
diag_1,0.020300958
race,0.019542925
num_procedures,0.019518264
num_medications,0.01902062
metformin,0.01870963
diag_3,0.018006863
diag_2,0.017659595
nateglinide,0.017588476
repaglinide,0.017382707
num_lab_procedures,0.017265553
rosiglitazone,0.017075423
insulin,0.016838511
glyburide,0.016211608
time_in_hospital,0.0157823
pioglitazone,0.015724914
glyburide-metformin,0.015263148
acarbose,0.014677023
glimepiride,0.014089014
glipizide,0.0139684025
change,0.013962104
gender,0.0137351565
chlorpropamide,0.012338582
miglitol,0.007790539
glipizide-metformin,0.007222919
tolazamide,0.0069442615
tolbutamide,0.0
