iter	Passed	Remaining
0	181	180974
1	208	103934
2	231	76980
3	257	64183
4	282	56128
5	307	51008
6	333	47282
7	355	44046
8	375	41342
9	397	39371
10	422	37968
11	445	36678
12	466	35442
13	490	34568
14	515	33818
15	539	33153
16	562	32501
17	587	32039
18	611	31561
19	639	31329
20	663	30910
21	685	30479
22	709	30134
23	733	29829
24	756	29514
25	778	29172
26	803	28942
27	828	28744
28	854	28600
29	881	28508
30	907	28354
31	930	28143
32	955	27995
33	980	27850
34	1002	27634
35	1021	27342
36	1037	27014
37	1057	26759
38	1076	26513
39	1096	26308
40	1119	26183
41	1142	26068
42	1165	25947
43	1190	25872
44	1216	25812
45	1241	25756
46	1266	25687
47	1305	25887
48	1343	26067
49	1384	26305
50	1422	26474
51	1454	26518
52	1496	26732
53	1534	26887
54	1569	26970
55	1602	27021
56	1634	27049
57	1673	27178
58	1703	27174
59	1738	27239
60	1763	27152
61	1804	27297
62	1827	27178
63	1849	27048
64	1874	26968
65	1906	26978
66	1933	26922
67	1961	26888
68	1991	26871
69	2016	26793
70	2046	26775
71	2073	26719
72	2103	26713
73	2126	26607
74	2156	26595
75	2189	26624
76	2214	26546
77	2242	26502
78	2268	26450
79	2295	26399
80	2325	26388
81	2349	26307
82	2379	26286
83	2413	26314
84	2441	26286
85	2477	26330
86	2504	26282
87	2531	26233
88	2561	26218
89	2593	26223
90	2618	26160
91	2642	26080
92	2673	26072
93	2702	26044
94	2729	26003
95	2758	25972
96	2788	25955
97	2822	25977
98	2848	25920
99	2879	25911
100	2906	25873
101	2935	25845
102	2967	25847
103	3001	25863
104	3030	25830
105	3061	25821
106	3093	25813
107	3118	25754
108	3154	25784
109	3180	25735
110	3208	25700
111	3237	25670
112	3262	25610
113	3289	25566
114	3318	25537
115	3348	25521
116	3375	25474
117	3401	25427
118	3427	25378
119	3456	25349
120	3489	25347
121	3515	25303
122	3546	25288
123	3572	25239
124	3604	25233
125	3630	25180
126	3657	25139
127	3683	25091
128	3714	25078
129	3739	25026
130	3772	25025
131	3810	25057
132	3843	25054
133	3890	25143
134	3926	25158
135	3957	25140
136	3992	25147
137	4022	25122
138	4050	25086
139	4084	25089
140	4117	25084
141	4149	25071
142	4185	25083
143	4221	25096
144	4256	25095
145	4287	25077
146	4319	25062
147	4359	25099
148	4390	25073
149	4423	25064
150	4448	25014
